Time,Total,Generator
876,34.8166363157,5
877,34.8076921613,5
878,34.7950995002,5
879,34.7823474017,5
880,34.7739133573,5
881,34.7588349228,5
882,34.7577946462,5
883,34.7488238312,5
884,34.7303830343,5
885,34.724922292,5
886,34.7188054544,5
887,34.717680741,5
888,34.7110004288,5
889,34.7098525286,5
890,34.696398964,5
891,34.6857995163,5
892,34.6856024742,5
893,34.6809611736,5
894,34.6804279294,5
895,34.6747845233,5
896,34.6706886842,5
897,34.6703695788,5
898,34.6677255898,5
899,34.6611116971,5
900,34.6595930659,5
901,34.6482602371,5
902,34.6450271018,5
903,34.6410486394,5
904,34.6375794409,5
905,34.6368612222,5
906,34.6358847644,5
907,34.5952649117,5
908,34.589794642,5
909,34.5857090874,5
910,34.5576188781,5
911,34.5557440075,5
912,34.5533288029,5
913,34.5326120302,5
914,34.5218492715,5
915,34.5156585348,5
916,34.5099241401,5
917,34.4969711194,5
918,34.4954350288,5
919,34.4936880673,5
920,34.4930339001,5
921,34.4870796019,5
922,34.4756663499,5
923,34.4747446892,5
924,34.4655487648,5
925,34.4595447358,5
926,34.4592524198,5
927,34.4543931183,5
928,34.4503064785,5
929,34.4459154448,5
930,34.4201907224,5
931,34.4097414373,5
932,34.406473178,5
933,34.3914752854,5
934,34.3760973109,5
935,34.3466892874,5
936,34.3455099336,5
937,34.3368234704,5
938,34.3324360906,5
939,34.3303963917,5
940,34.3282079289,5
941,34.3269960747,5
942,34.3209617185,5
943,34.3136613547,5
944,34.3136317238,5
945,34.291602225,5
946,34.2863283434,5
947,34.2740877451,5
948,34.2713978645,5
949,34.2710685888,5
950,34.2637751235,5
951,34.2502092198,5
952,34.2446668784,5
953,34.2395819812,5
954,34.2321823102,5
955,34.2279320164,5
956,34.2213724606,5
957,34.206422415,5
958,34.1940646435,5
959,34.184583043,5
960,34.1718553033,5
961,34.1709462104,5
962,34.1683902213,5
963,34.1628082326,5
964,34.1619099755,5
965,34.1604726254,5
966,34.1525507081,5
967,34.136612051,5
968,34.136320528,5
969,34.1246051468,5
970,34.1114286482,5
971,34.1072107235,5
972,34.1055621151,5
973,34.1041921067,5
974,34.0870201291,5
975,34.0734010568,5
976,34.0619482333,5
977,34.0565077891,5
978,34.0502286119,5
979,34.0486692805,5
980,34.0423697893,5
981,34.042117086,5
982,34.0384201634,5
983,34.0366064243,5
984,34.0270754388,5
985,34.0266415364,5
986,34.0216893382,5
987,34.0142125683,5
988,34.0086528665,5
989,33.9999427326,5
990,33.9788155222,5
991,33.9619542547,5
992,33.9477975026,5
993,33.9448580161,5
994,33.9407959848,5
995,33.9396046309,5
996,33.9391862429,5
997,33.9362778936,5
998,33.9177815441,5
999,33.9159653042,5
1000,33.9084222168,5
1001,33.9052427137,5
1002,33.8902109095,5
1003,33.8768320452,5
1004,33.8689635153,5
1005,33.8628454746,5
1006,33.8624749101,5
1007,33.8578674126,5
1008,33.8471299262,5
1009,33.8380081388,5
1010,33.8357484556,5
1011,33.8305624024,5
1012,33.8236220915,5
1013,33.8210147411,5
1014,33.8134877269,5
1015,33.7989143673,5
1016,33.7982593231,5
1017,33.792553004,5
1018,33.7850097483,5
1019,33.7827746397,5
1020,33.776031323,5
1021,33.7479344967,5
1022,33.7420359397,5
1023,33.7406654893,5
1024,33.7405298396,5
1025,33.7350177671,5
1026,33.7303843523,5
1027,33.7238605081,5
1028,33.721342353,5
1029,33.7202641256,5
1030,33.7102643684,5
1031,33.6975315186,5
1032,33.6710058878,5
1033,33.6672993041,5
1034,33.659550774,5
1035,33.6525775214,5
1036,33.6497149425,5
1037,33.6439924406,5
1038,33.6353958936,5
1039,33.6343604925,5
1040,33.6283395544,5
1041,33.6274154728,5
1042,33.6033871635,5
1043,33.6029950382,5
1044,33.601594562,5
1045,33.6003888478,5
1046,33.598173233,5
1047,33.5951021235,5
1048,33.5912505535,5
1049,33.5821053031,5
1050,33.5770712474,5
1051,33.5664711939,5
1052,33.5653148981,5
1053,33.5457505711,5
1054,33.5332344476,5
1055,33.5283551127,5
1056,33.5120402416,5
1057,33.4964175135,5
1058,33.4885567189,5
1059,33.4839883527,5
1060,33.4778821007,5
1061,33.4697493222,5
1062,33.4652296352,5
1063,33.4643148875,5
1064,33.463489199,5
1065,33.4516892487,5
1066,33.4475762776,5
1067,33.4414348743,5
1068,33.4267976421,5
1069,33.4142980716,5
1070,33.4057637763,5
1071,33.4002524445,5
1072,33.3974976739,5
1073,33.3967325202,5
1074,33.3854997599,5
1075,33.3843364321,5
1076,33.3829979532,5
1077,33.3579005578,5
1078,33.3568126442,5
1079,33.350150239,5
1080,33.3472280747,5
1081,33.3438886192,5
1082,33.3409946495,5
1083,33.3371110865,5
1084,33.3166919979,5
1085,33.3165147345,5
1086,33.3158199021,5
1087,33.2860859395,5
1088,33.2789590436,5
1089,33.2712238266,5
1090,33.2660031538,5
1091,33.248189839,5
1092,33.208797786,5
1093,33.1983543513,5
1094,33.1778569027,5
1095,33.1730640003,5
1096,33.1698428489,5
1097,33.159576268,5
1098,33.1547530529,5
1099,33.1467907546,5
1100,33.1387305623,5
1101,33.1329195318,5
1102,33.1323315431,5
1103,33.1268252529,5
1104,33.1258541809,5
1105,33.0810936747,5
1106,33.0728196939,5
1107,33.066241261,5
1108,33.0617897028,5
1109,33.0540346602,5
1110,33.0510140757,5
1111,33.0452435629,5
1112,33.0419421505,5
1113,33.0396075492,5
1114,33.034705535,5
1115,33.0239988415,5
1116,33.0193374306,5
1117,33.0151271802,5
1118,33.0099623076,5
1119,33.0066428591,5
1120,33.0009070426,5
1121,32.9963489439,5
1122,32.9863795846,5
1123,32.9819455272,5
1124,32.9759994928,5
1125,32.9757069863,5
1126,32.974597328,5
1127,32.9728055286,5
1128,32.9704638361,5
1129,32.9675009101,5
1130,32.9665315918,5
1131,32.9459392807,5
1132,32.9458668361,5
1133,32.9431831721,5
1134,32.9279940295,5
1135,32.9227105317,5
1136,32.9102470383,5
1137,32.9088200192,5
1138,32.9058175291,5
1139,32.904369014,5
1140,32.9039158168,5
1141,32.8977881828,5
1142,32.8877099269,5
1143,32.8852288626,5
1144,32.8848035095,5
1145,32.88445554,5
1146,32.8782211285,5
1147,32.877581092,5
1148,32.8690964664,5
1149,32.8649517481,5
1150,32.8512871354,5
1151,32.8472759804,5
1152,32.8423599481,5
1153,32.8296915904,5
1154,32.8266731915,5
1155,32.8160765364,5
1156,32.801534698,5
1157,32.8009068808,5
1158,32.7997420613,5
1159,32.795331185,5
1160,32.7921095218,5
1161,32.7847518892,5
1162,32.7812762113,5
1163,32.7771614365,5
1164,32.7657097166,5
1165,32.7540130006,5
1166,32.7361344045,5
1167,32.7344294886,5
1168,32.72889132,5
1169,32.723001705,5
1170,32.7150300674,5
1171,32.6998678584,5
1172,32.6903691336,5
1173,32.688158192,5
1174,32.6822537573,5
1175,32.6623643164,5
1176,32.654656021,5
1177,32.6538174949,5
1178,32.6285797038,5
1179,32.6164330909,5
1180,32.5983947678,5
1181,32.5864972403,5
1182,32.5838012847,5
1183,32.582299818,5
1184,32.5812115182,5
1185,32.5695589249,5
1186,32.5687457467,5
1187,32.5478169261,5
1188,32.5448387085,5
1189,32.5424830687,5
1190,32.5267192151,5
1191,32.521718863,5
1192,32.520037924,5
1193,32.5165104974,5
1194,32.5060586466,5
1195,32.5050061612,5
1196,32.4889431594,5
1197,32.4875956106,5
1198,32.4842835483,5
1199,32.483693929,5
1200,32.4833499011,5
1201,32.480029326,5
1202,32.4635869334,5
1203,32.4593442159,5
1204,32.4483143762,5
1205,32.447914825,5
1206,32.4441320496,5
1207,32.436140035,5
1208,32.4283363562,5
1209,32.4176719282,5
1210,32.4170636958,5
